epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6363,1.82726,2.39929,1.67967,0.59132,0.40247,0.47003,0.20607,1.85526,2.14299,1.81205,0.000329897,0.000329897,0.0673402
2,52.9624,1.70764,1.73122,1.6212,0.57371,0.48156,0.51948,0.23201,1.72556,1.85516,1.65204,0.00059757,0.00059757,0.0342745
3,79.2303,1.6824,1.61492,1.59729,0.63136,0.58425,0.63633,0.30914,1.6613,1.60545,1.62417,0.000799244,0.000799244,0.00114289
4,110.941,1.62954,1.52822,1.57886,0.77133,0.59322,0.73165,0.35176,1.6524,1.38741,1.61093,0.000703,0.000703,0.000703
5,142.074,1.61663,1.39286,1.56432,0.71689,0.64207,0.72516,0.3554,1.62866,1.37691,1.56334,0.000604,0.000604,0.000604
6,168.174,1.57268,1.33605,1.52739,0.78418,0.7209,0.80636,0.41714,1.56876,1.2344,1.58632,0.000505,0.000505,0.000505
7,195.121,1.53403,1.2397,1.48314,0.7989,0.7338,0.83008,0.43425,1.50713,1.18589,1.49564,0.000406,0.000406,0.000406
8,227.601,1.50999,1.17118,1.46126,0.79917,0.76175,0.84269,0.43811,1.56568,1.10655,1.53147,0.000307,0.000307,0.000307
9,267.295,1.46785,1.09205,1.43141,0.82072,0.7668,0.85375,0.45011,1.54036,1.09404,1.52375,0.000208,0.000208,0.000208
10,304.098,1.43768,1.04577,1.40527,0.83264,0.78166,0.86246,0.467,1.50212,1.0564,1.48906,0.000109,0.000109,0.000109
