Metric,Value
Model,YOLOv8n (Hand Detection)
Dataset Root,data\processed_frames
Train Images,1551
Validation Images,510
Batch Size,16
Image Size,640
Learning Rate,0.001
Weight Decay,0.0001
Num Epochs,50
Best Weights,D:\vscode\Python\projects\sign-language-pipline\runs\detect\runs\hand_detection\train_m1-11\weights\best.pt
metrics/precision(B),0.8670078433656191
metrics/recall(B),0.792968672607083
metrics/mAP50(B),0.8821299445352875
metrics/mAP50-95(B),0.488820430389989
fitness,0.488820430389989
