epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1033,1.84674,2.43346,1.74895,0.50544,0.30708,0.34881,0.15032,1.69356,2.48352,1.68952,0.000329897,0.000329897,0.0673402
2,52.7938,1.7355,1.73184,1.64765,0.62901,0.53539,0.60578,0.29073,1.68193,1.64472,1.65808,0.00059757,0.00059757,0.0342745
3,85.2802,1.66504,1.63879,1.59461,0.60865,0.47956,0.53172,0.26455,1.67981,1.89409,1.68971,0.000799244,0.000799244,0.00114289
4,111.733,1.6431,1.52641,1.58742,0.73076,0.63863,0.72464,0.37645,1.57794,1.54827,1.54583,0.000703,0.000703,0.000703
5,138.563,1.59104,1.44578,1.52393,0.67522,0.64672,0.6914,0.33489,1.60297,1.48313,1.54556,0.000604,0.000604,0.000604
6,164.959,1.57259,1.38732,1.5189,0.76335,0.69292,0.77704,0.40209,1.5384,1.26463,1.5241,0.000505,0.000505,0.000505
7,191.72,1.54805,1.27286,1.49454,0.77832,0.67697,0.79171,0.4224,1.53355,1.30034,1.52547,0.000406,0.000406,0.000406
8,220.428,1.50067,1.19913,1.45532,0.83258,0.73382,0.84018,0.4378,1.52916,1.13772,1.52307,0.000307,0.000307,0.000307
9,259.927,1.46751,1.11044,1.42819,0.81982,0.76271,0.84979,0.44817,1.54862,1.09713,1.52361,0.000208,0.000208,0.000208
10,299.724,1.42769,1.05908,1.39911,0.83802,0.77886,0.86751,0.46955,1.48554,1.04185,1.47176,0.000109,0.000109,0.000109
